,pbmc_20m_3,pbmc_10m_3,pbmc_5m_3,pbmc_2m_3,pbmc_1m_3,pbmc_500k_3,pbmc_200k_3
Monocytes_EPIC,0.143,0.145,0.127,0.174,0.086,0.134,0.140
B-cells_EPIC,0.086,0.088,0.089,0.067,0.129,0.102,0.035
CD4T-cells_EPIC,0.341,0.347,0.338,0.368,0.390,0.210,0.428
NK-cells_EPIC,0.182,0.173,0.184,0.144,0.194,0.192,0.276
CD8T-cells_EPIC,0.215,0.205,0.211,0.199,0.135,0.283,0.044
Neutrophils_EPIC,0.001,0.002,0.016,0.007,0.038,0.053,0.000
Erythrocyte_progenitors,0.032,0.040,0.035,0.036,0.028,0.010,0.029
Adipocytes,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cortical_neurons,0.000,0.000,0.000,0.000,0.000,0.000,0.012
Hepatocytes,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lung_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pancreatic_beta_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pancreatic_acinar_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pancreatic_duct_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Vascular_endothelial_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colon_epithelial_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Left_atrium,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bladder,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Head_and_neck_larynx,0.000,0.000,0.000,0.000,0.000,0.000,0.032
Kidney,0.000,0.000,0.000,0.005,0.000,0.009,0.004
Prostate,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Thyroid,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Upper_GI,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Uterus_cervix,0.000,0.000,0.000,0.000,0.000,0.007,0.000
