,pbmc_20m_2,pbmc_10m_2,pbmc_5m_2,pbmc_2m_2,pbmc_1m_2,pbmc_500k_2,pbmc_200k_2
Monocytes_EPIC,0.134,0.143,0.165,0.100,0.143,0.117,0.206
B-cells_EPIC,0.091,0.088,0.077,0.111,0.137,0.116,0.083
CD4T-cells_EPIC,0.331,0.327,0.352,0.411,0.293,0.414,0.225
NK-cells_EPIC,0.182,0.182,0.202,0.157,0.152,0.131,0.093
CD8T-cells_EPIC,0.216,0.215,0.185,0.159,0.212,0.128,0.206
Neutrophils_EPIC,0.011,0.005,0.000,0.030,0.000,0.000,0.058
Erythrocyte_progenitors,0.036,0.041,0.019,0.032,0.063,0.076,0.055
Adipocytes,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cortical_neurons,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Hepatocytes,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lung_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pancreatic_beta_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pancreatic_acinar_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pancreatic_duct_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Vascular_endothelial_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colon_epithelial_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Left_atrium,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bladder,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Head_and_neck_larynx,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kidney,0.000,0.000,0.000,0.000,0.000,0.018,0.049
Prostate,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Thyroid,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Upper_GI,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Uterus_cervix,0.000,0.000,0.000,0.000,0.000,0.000,0.027
